discarded_date	num	date_evaluated	company	role	score	status	report_path	note
2026-04-23	57	2026-04-22	Firecrawl	Software Engineer Agent (AI Agents Only)	1.5/5	SKIP	reports/057-firecrawl-2026-04-22.md	Not a human role — posting is for autonomous coding agents; apply to Firecrawl human roles instead
2026-04-23	38	2026-04-22	LiveKit	Forward Deployed Engineer	2.8/5	Evaluated	reports/038-livekit-2026-04-22.md	Senior infra FDE (5+ yrs) + WebRTC domain gap; skip and revisit junior openings.
2026-04-23	40	2026-04-22	Adaptive ML	Forward Deployed AI Engineer	2.9/5	Evaluated	reports/040-adaptive-ml-2026-04-22.md	Senior FDE (4-8+ yrs + MSc/PhD); RLOps depth; skip unless junior band opens.
2026-04-23	49	2026-04-22	Synthflow AI	Forward Deployed Engineer	2.9/5	Evaluated	reports/049-synthflow-2026-04-22.md	Post-sales voice-agent FDE; CRM+telephony specialty + implementation-title gate; skip.
2026-04-23	25	2026-04-21	Abridge	Machine Learning Scientist (All Levels)	2.9/5	Evaluated	reports/025-abridge-2026-04-21.md	Research-scientist role with publication gate — misfit; recommend redirect to Abridge ML Engineer/Applied track.
2026-04-23	26	2026-04-21	Perplexity	Machine Learning Research Engineer	2.6/5	Evaluated	reports/026-perplexity-2026-04-21.md	Berlin-based + publication gate + distributed-training + search research — 4 hard blockers; skip.
2026-04-23	13	2026-04-21	Kikoff	Software Engineer — Recent Grad 2026	2.8/5	Evaluated	reports/013-kikoff-2026-04-21.md	Off-archetype (consumer fintech SWE, Ruby/Flutter stack gap); one source says closed — do not apply.
2026-04-23	2	2026-04-20	Perplexity	AI Engineer, Applied ML	2.8/5	Evaluated	reports/002-perplexity-2026-04-20.md	Senior (5+ yrs) — skip, below threshold
2026-04-23	8	2026-04-20	Zapier	Applied AI Engineer	2.9/5	Evaluated	reports/008-zapier-2026-04-20.md	Senior (7+ yrs) — skip
2026-04-23	120	2026-04-23	Sierra	TLM, Agent	2.3/5	Evaluated	reports/110-sierra-tlm-agent-2026-04-23.md	NYC on-site; $280-410K engineering-management role (TLM = Tech Lead Manager); requires experience leading engineering teams — hard level mismatch for 2.5 yr IC. Archive.
2026-04-24	127	2026-04-24	Anthropic	Applied AI Claude Evangelist, Startups	2.4/5	Evaluated	reports/127-anthropic-claude-evangelist-startups-2026-04-24.md	DevRel / Evangelism archetype + 7+ yrs — not Deepak's archetype; skip
2026-04-24	120	2026-04-24	Anthropic	Forward Deployed Engineer, Federal Civilian	2.6	Evaluated	reports/below-threshold/120-anthropic-fde-federal-civilian-2026-04-24.md	dedup skip from tracker; archived manually — federal clearance blocker
2026-04-24	121	2026-04-24	Vercel	Software Engineer, Agent	2.8	Evaluated	reports/below-threshold/121-vercel-agent-2026-04-24.md	dedup skip from tracker; archived manually — Staff-level 7+ yrs
2026-04-24	123	2026-04-24	Glean	ML Engineer, AI Assistant & Autonomous AI Agents	2.7	Evaluated	reports/below-threshold/123-glean-ml-agents-2026-04-24.md	dedup skip from tracker; archived manually — Staff-level
2026-04-24	126	2026-04-24	Glean	Software Engineer, AI & Security	2.9	Evaluated	reports/below-threshold/126-glean-ai-security-2026-04-24.md	dedup skip from tracker; archived manually — 5+ yrs + enterprise security
2026-04-24	132	2026-04-24	Anthropic	UI Software Engineer, Claude.ai Consumer Product	2.5/5	Evaluated	reports/132-anthropic-ui-software-engineer-claude-ai-2026-04-24.md	Archetype mismatch (consumer UI); 5+yrs Next.js gap; SKIP
2026-04-24	133	2026-04-24	Glean	Public Sector Solutions Engineer, SLED	2.8/5	Evaluated	reports/133-glean-sled-solutions-engineer-2026-04-24.md	SE archetype mismatch; no public-sector SE track record; SKIP
2026-04-24	137	2026-04-24	Intercom	Solutions Engineer	2.7/5	Evaluated	reports/137-intercom-solutions-engineer-sf-2026-04-24.md	SE archetype mismatch; no pre-sales track; SKIP
2026-04-24	138	2026-04-24	Intercom	Solutions Engineer - LATAM (Portuguese)	2.3/5	Evaluated	reports/138-intercom-solutions-engineer-latam-2026-04-24.md	Portuguese fluency hard blocker + SE mismatch; SKIP
2026-04-24	147	2026-04-24	BigBear.ai	Associate AI Engineer	2.6/5	Evaluated	reports/147-bigbear-associate-ai-engineer-2026-04-24.md	Strong tech match (RAG+MCP+agents+pgvector); HARD VETO: "Ability to obtain Security Clearance" — F-1 OPT ineligible for US clearance; SKIP
2026-04-25	162	2026-04-25	Modal	Forward Deployed Engineer - Systems (Stockholm)	2.7/5	SKIP	reports/162-modal-fde-systems-stockholm-2026-04-25.md	Senior 5+ yrs sales-eng; Stockholm on-site; geo+seniority mismatch
2026-04-25	163	2026-04-25	Dryft	Founding Forward Deployed Engineer	1.9/5	SKIP	reports/163-dryft-founding-fde-2026-04-25.md	Hard blocker: native German fluency required
2026-04-25	165	2026-04-25	Mistral AI	AI Deployment Strategist Cybersecurity (Paris)	2.6/5	SKIP	reports/165-mistral-cybersecurity-strategist-paris-2026-04-25.md	Strategist not IC eng; cybersecurity domain mismatch; Paris on-site
2026-04-26	169	2026-04-26	Hightouch	Mid-Market Solutions Engineer	2.7/5	Evaluated	reports/169-hightouch-mid-market-se-2026-04-26.md	CDP/marketing-AI SE; Remote NA; 2+yr SE bar gap; off-archetype.
2026-04-26	170	2026-04-26	Intercom	Solutions Engineer (Chicago)	2.7/5	Evaluated	reports/170-intercom-se-chicago-2026-04-26.md	Intercom SE Chicago; 4+yr pre-sales gap; sponsorship friendly but title gap too wide.
2026-04-26	171	2026-04-26	Lyra Technology Group	Forward Deployment AI Engineer	2.3/5	Evaluated	reports/171-lyra-tech-fde-ai-2026-04-26.md	PE-backed FDE; Chicago hybrid + 40-60% travel; no-sponsorship policy = F-1 OPT cliff.
2026-04-26	172	2026-04-26	Glean	Strategic Solutions Engineer, East	2.5/5	Evaluated	reports/172-glean-strategic-se-east-2026-04-26.md	Glean Strategic SE East; 5+yr SE bar; Glean has earlier-career roles already in tracker.
2026-04-26	173	2026-04-26	Intercom	Solutions Engineer LATAM (Portuguese)	1.9/5	Evaluated	reports/173-intercom-se-latam-sf-2026-04-26.md	Intercom LATAM SE; Portuguese fluency required (BLOCKER); 4+yr SE bar.
2026-04-26	174	2026-04-26	Vercel	Anti-Abuse Automation Engineer	2.6/5	Evaluated	reports/174-vercel-anti-abuse-automation-2026-04-26.md	Vercel T&S Automation Eng; Remote US; payment-fraud domain gap; Vercel FDE v0 is closer match.
2026-04-26	175	2026-04-26	Relay	Forward Deployed Engineer	2.5/5	Evaluated	reports/175-relay-tech-fde-london-2026-04-26.md	Relay London FDE; UK on-site = F-1 OPT visa blocker; tech fit OK.
2026-04-26	176	2026-04-26	Lakera	Solutions Engineer (Italy)	2.2/5	Evaluated	reports/176-lakera-se-italy-2026-04-26.md	Lakera Italy SE; 5+yr SE bar + Italy auth = double blocker.
2026-04-26	175	2026-04-26	Addepto	AI Engineer	2.8/5	Evaluated	reports/175-addepto-ai-engineer-2026-04-26.md	PL-only consultancy; great tech-stack match but F-1 OPT incompatible.
2026-04-26	176	2026-04-26	Adaptive Teams	Junior AI Agent Builder	2.7/5	Evaluated	reports/176-adaptive-teams-junior-ai-agent-builder-2026-04-26.md	Serbia-only remote junior role; F-1 OPT incompatible.
2026-04-26	177	2026-04-26	Legora	Software Engineer (AI Focus)	2.9/5	Evaluated	reports/177-legora-software-engineer-ai-stockholm-2026-04-26.md	Stockholm 5-day on-site; tech fit strong but F-1 OPT incompatible.
2026-04-26	178	2026-04-26	Truelogic	Forward Deployed Engineer (FDE) - Technology	2.6/5	Evaluated	reports/178-truelogic-fde-technology-2026-04-26.md	LATAM nearshore staff-aug; F-1 OPT incompatible.
2026-04-26	175	2026-04-26	Hightouch	Enterprise Solutions Engineer, East	2.4/5	Evaluated	reports/175-hightouch-enterprise-se-east-2026-04-26.md	Senior IC SE — JD requires deep enterprise sales experience; Junior-mid mismatch
2026-04-26	176	2026-04-26	Hightouch	Enterprise Solutions Engineer, West	2.4/5	Evaluated	reports/176-hightouch-enterprise-se-west-2026-04-26.md	West-coast variant of #175 — same senior IC SE seniority mismatch
2026-04-26	177	2026-04-26	Anthropic	Global Applied AI Architecture Lead, Beneficial Deployments	1.5/5	Evaluated	reports/177-anthropic-applied-ai-architecture-lead-2026-04-26.md	Director-level people manager — filter slip per _profile.md (Lead/Architect negative list)
2026-04-26	178	2026-04-26	Helsing	AI Working Student - Computer Vision (Munich)	1.6/5	Evaluated	reports/178-helsing-working-student-cv-munich-2026-04-26.md	Hard work-auth + enrollment mismatch (TUM/LMU Munich Working Student); F-1 OPT graduate is US-only
2026-04-26	179	2026-04-26	Mistral AI	AI Deployment Strategist, Cybersecurity (Paris)	2/5	Evaluated	reports/179-mistral-ai-deployment-strategist-cybersec-paris-2026-04-26.md	Domain mismatch (cybersec); Paris on-site; F-1 OPT requires visa sponsorship
2026-04-26	180	2026-04-26	Relay Technologies	Forward Deployed Engineer (London)	2.6/5	Evaluated	reports/180-relay-fde-london-2026-04-26.md	Strong tech fit; UK on-site + F-1 OPT visa sponsorship required = structural blocker
2026-04-26	182	2026-04-26	Glean	Public Sector Solutions Engineer, SLED (Washington, DC)	2.3/5	Evaluated	reports/182-glean-public-sector-se-sled-dc-2026-04-26.md	Senior SE + likely citizenship gap for SLED/federal-adjacent work
2026-04-26	183	2026-04-26	Glean	Strategic Solutions Engineer, East (Remote-US)	2.3/5	Evaluated	reports/183-glean-strategic-se-east-2026-04-26.md	Senior strategic SE — junior-mid IC engineer mismatch
2026-04-26	186	2026-04-26	Siili Solutions	AI Engineer	2/5	Evaluated	reports/186-siili-solutions-ai-engineer-2026-04-26.md	Strong tech stack (RAG/LangGraph/MLOps) but Finland on-site + Finnish required = hard veto on F-1 OPT
2026-04-26	187	2026-04-26	Ascending AI	Software Engineer - Agentic Infrastructure (Senior Full-Stack)	2/5	Evaluated	reports/187-ascending-ai-fullstack-amsterdam-2026-04-26.md	Senior 5+ yrs Full-Stack Amsterdam; wrong level + wrong geography; filter slip per _profile.md hygiene
2026-04-26	188	2026-04-26	Netrix Global	Azure Machine Learning Engineer	2/5	Evaluated	reports/188-netrix-azure-ml-argentina-2026-04-26.md	Argentina-only remote + Azure-specific stack mismatch; geography veto on F-1 OPT
2026-04-26	190	2026-04-26	Parloa	Forward Deployed Engineer, DevOps	2/5	Evaluated	reports/190-parloa-fde-devops-berlin-2026-04-26.md	Senior 5+ yrs DevOps + Germany only; level + geography vetos
2026-04-26	191	2026-04-26	Parloa	Forward Deployed Engineer, VoIP	2.2/5	Evaluated	reports/191-parloa-fde-voip-ny-2026-04-26.md	US Remote OK but VoIP/SIP/telephony off-archetype + Senior 5+ yrs; archetype mismatch
2026-04-27	195	2026-04-27	General Robotics	Forward Deployed Engineer (AI)	2.8/5	Evaluated	reports/195-general-robotics-fde-ai-2026-04-27.md	Redmond WA on-site; robotics intelligence niche; SLAM/sim tooling gaps; below 3.0 — domain mismatch.
2026-04-27	200	2026-04-27	DoiT	Applied AI Engineer	2.7/5	Evaluated	reports/200-doit-applied-ai-engineer-2026-04-27.md	Remote EU (Poland/Estonia/etc.) — geography hard block for F-1 OPT US-based candidate; SKIP unless relocation plan.
2026-04-27	201	2026-04-27	Celonis	Client Engagement Partner - AI-Driven Transformation	2/5	Evaluated	reports/201-celonis-cep-paris-2026-04-27.md	Paris on-site sales/consulting CVP role (not engineering); F-1 OPT incompatible; SKIP. Filter rec: add Client Engagement/Value Partner to negative.
2026-04-27	204	2026-04-27	Tooploox	AI Engineer	2.5/5	Evaluated	reports/204-tooploox-ai-engineer-2026-04-27.md	Poland-only employment (Warsaw/Wrocław/Remote-PL) — geography hard block for F-1 OPT US-based; tech archetype strong (LangGraph/RAG/evals); SKIP unless willing to relocate.
2026-04-27	205	2026-04-27	Wayve	Software Integration Engineer (6mo Contract)	1.5/5	Evaluated	reports/205-wayve-software-integration-engineer-2026-04-27.md	Embedded automotive (QNX/AUTOSAR/NVIDIA Orin) in Leonberg DE — off-archetype, 5+yr embedded gap, contract conflicts with F-1 OPT permanent-role need.
2026-04-27	206	2026-04-27	Celonis	Client Value Partner — AI-Driven Transformation (Paris)	1.5/5	Evaluated	reports/206-celonis-cvp-paris-2026-04-27.md	Sales/CS leader, 15+yr requirement, Paris on-site — multi-block off-archetype; SKIP.
2026-04-27	207	2026-04-27	Celonis	Client Value Partner — AI-Driven Transformation (Zürich)	1.5/5	Evaluated	reports/207-celonis-cvp-zurich-2026-04-27.md	Same JD shell as Paris CVP (#206), Zürich location — sales/CS leader 15+yrs CH on-site; SKIP.
2026-04-27	208	2026-04-27	Celonis	Client Engagement Partner — AI-Driven Transformation (Zürich)	1.5/5	Evaluated	reports/208-celonis-cep-zurich-2026-04-27.md	Same JD shell as Celonis CVP (#206/#207), titled "Engagement" instead of "Value" — sales/CS leader 15+yrs CH on-site; SKIP.
2026-04-27	211	2026-04-27	SINAI Technologies	AI Engineer	2.5/5	SKIP	reports/211-sinai-ai-engineer-brazil-2026-04-27.md	SF-HQ climate-tech SaaS but role is geo-restricted to Brazil; hard veto for US-based F-1 OPT; stack matches but no work-auth path
2026-04-27	213	2026-04-27	Sezzle	AI Engineering I - Marketing	2.3/5	SKIP	reports/213-sezzle-ai-engineering-marketing-2026-04-27.md	Same LATAM/Argentina geo block as #212, marketing-vertical variant; explicit $30-40k geo-arbitrage band; F-1 OPT US-based veto
2026-04-27	217	2026-04-27	Benchling	Software Engineer New Grad (2026)	2.4/5	Evaluated	reports/217-benchling-swe-newgrad-2026-04-27.md	Cohort gating: requires currently-enrolled BS/MS expected Summer 2026; Deepak already graduated 2025
2026-04-27	220	2026-04-27	Defense Unicorns	Forward Deployed AI Engineer	1.5/5	Evaluated	reports/220-defense-unicorns-fde-ai-2026-04-27.md	HARD VETO: requires US Citizenship + TS/SCI; F-1 OPT cannot apply
2026-04-28	221	2026-04-28	Hightouch	AI Creative Technologist	2/5	Evaluated	reports/221-hightouch-ai-creative-technologist-2026-04-28.md	Off-archetype creative/marketer role; Nano Banana 2/Veo/Midjourney/SD; portfolio-required; SKIP
2026-04-28	222	2026-04-28	Red Hat	Forward Deployed Engineer, AI Inference (vLLM and Kubernetes)	1.8/5	Evaluated	reports/222-redhat-fde-ai-inference-2026-04-28.md	8+ yrs Backend/SRE/Infra + deep K8s/Go/vLLM internals — hard seniority + stack gap
2026-04-28	224	2026-04-28	Built In	Applied AI Engineer	2/5	Evaluated	reports/224-builtin-applied-ai-engineer-2026-04-28.md	India-only remote — F-1 OPT incompatible; agentic/ReAct stack matches but geography hard veto
2026-04-28	225	2026-04-28	Amdaris	AI Forward Deployed Engineer	2.4/5	Evaluated	reports/225-amdaris-ai-fde-2026-04-28.md	UAE/UK/Eastern Europe location — F-1 OPT incompatible; founding FDE consultancy stack otherwise close
2026-04-28	226	2026-04-28	Weekday AI	AI Engineer	1.8/5	Evaluated	reports/226-weekday-ai-engineer-2026-04-28.md	India remote @ INR 20-100 LPA — geography + comp band incompatible with F-1 OPT US
2026-04-28	227	2026-04-28	Supabase	Platform Engineer - Multicloud	2.6/5	Evaluated	reports/227-supabase-platform-engineer-multicloud-2026-04-28.md	Off-archetype platform/infra (K8s + Pulumi + cloud abstraction) — not Applied AI; SKIP
2026-04-28	230	2026-04-28	Snorkel AI	Applied AI Engineer - Federal (TS Required)	1.5/5	SKIP	reports/230-snorkelai-applied-ai-federal-2026-04-28.md	HARD VETO: Active TS clearance required; F-1 OPT cannot hold TS
2026-04-28	232	2026-04-28	PermitFlow	Analytics Engineer (New Grad)	2.7/5	SKIP	reports/232-permitflow-analytics-engineer-newgrad-2026-04-28.md	Off-archetype: BI/analytics not Applied AI; would dilute positioning
